Date,GLD,HYG,IWM,LQD,QQQ,TLT,USO,UUP,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,^GSPC,^IRX,^TNX,^VIX
2018-03-14,125.69999694824219,55.690128326416016,142.32266235351562,87.36347198486328,162.72401428222656,95.6898193359375,98.23999786376953,19.625328063964844,25.479066848754883,46.324310302734375,23.675559997558594,24.756698608398438,66.376708984375,32.23544692993164,43.206729888916016,23.72273826599121,19.376502990722656,74.65426635742188,48.82478713989258,2749.47998046875,1.718000054359436,2.816999912261963,17.229999542236328
2018-03-15,124.9000015258789,55.72918701171875,141.60975646972656,87.45345306396484,162.58192443847656,95.6898193359375,98.72000122070312,19.700584411621094,25.1445369720459,46.324310302734375,23.55287742614746,24.7652587890625,66.56818389892578,32.253902435302734,42.90217971801758,23.72273826599121,19.36493492126465,74.53250885009766,48.773983001708984,2747.330078125,1.7330000400543213,2.8259999752044678,16.59000015258789
2018-03-16,124.5999984741211,55.84635925292969,142.40391540527344,87.55091857910156,162.09848022460938,95.34764862060547,100.4000015258789,19.750755310058594,25.142847061157227,46.324310302734375,23.76293182373047,24.786714553833008,66.92387390136719,32.22056579589844,42.91748046875,23.847078323364258,19.53481674194336,74.53251647949219,48.7230224609375,2752.010009765625,1.7380000352859497,2.8480000495910645,15.800000190734863
2018-03-19,124.87000274658203,55.618534088134766,141.03216552734375,87.25847625732422,158.63995361328125,95.04522705078125,100.4000015258789,19.667137145996094,24.781530380249023,46.324310302734375,23.39576530456543,24.60641860961914,66.40824890136719,31.581817626953125,42.498382568359375,23.610591888427734,19.41429901123047,73.32796478271484,48.11619186401367,2712.919921875,1.7280000448226929,2.8450000286102295,19.020000457763672
2018-03-20,124.30999755859375,55.72918701171875,140.99612426757812,86.9510726928711,159.16204833984375,94.66321563720703,102.4800033569336,19.784204483032227,24.756025314331055,46.324310302734375,23.593477249145508,24.666515350341797,66.6354751586914,31.56791877746582,42.377498626708984,23.602962493896484,19.32488441467285,73.4327163696289,48.40338897705078,2716.93994140625,1.7580000162124634,2.878999948501587,18.200000762939453
2018-03-21,126.4800033569336,55.748687744140625,141.81732177734375,86.89855194091797,158.4690399169922,94.76668548583984,105.44000244140625,19.625328063964844,25.036575317382812,46.324310302734375,24.211288452148438,24.657936096191406,66.71411895751953,31.37813949584961,41.8536262512207,23.38936424255371,19.258804321289062,73.1185073852539,48.366336822509766,2711.929931640625,1.7100000381469727,2.9070000648498535,17.860000610351562
2018-03-22,125.9800033569336,55.416778564453125,138.7075958251953,87.04852294921875,154.55764770507812,95.70576477050781,103.5999984741211,19.650413513183594,24.288448333740234,46.324310302734375,23.717039108276367,23.74785614013672,64.51187896728516,30.568119049072266,41.507057189941406,23.30544662475586,19.344327926635742,71.01492309570312,47.337955474853516,2643.68994140625,1.6829999685287476,2.8320000171661377,23.34000015258789
2018-03-23,127.61000061035156,55.2735481262207,135.7227020263672,86.77108764648438,150.48486328125,95.63410949707031,106.23999786376953,19.583518981933594,23.8123722076416,46.324310302734375,23.572290420532227,23.02666473388672,63.56806564331055,29.753456115722656,40.99123001098633,22.939279556274414,19.07220458984375,69.53982543945312,46.4068489074707,2588.260009765625,1.687999963760376,2.8299999237060547,24.8700008392334
2018-03-26,128.27999877929688,55.63154220581055,138.68948364257812,87.0785140991211,156.0766143798828,95.26802062988281,105.68000030517578,19.491535186767578,24.301197052001953,46.324310302734375,23.995935440063477,23.773611068725586,65.10613250732422,30.88286590576172,41.579586029052734,23.252052307128906,19.270463943481445,70.98001861572266,47.77803039550781,2658.550048828125,1.7050000429153442,2.8429999351501465,21.030000686645508
2018-03-27,127.48999786376953,55.57948303222656,136.00303649902344,87.39344787597656,151.02601623535156,96.28671264648438,104.63999938964844,19.583518981933594,24.054664611816406,46.324310302734375,23.769994735717773,23.309993743896484,64.20602416992188,29.892316818237305,41.55541229248047,23.290191650390625,19.546476364135742,70.1420669555664,46.84229278564453,2612.6201171875,1.7330000400543213,2.7860000133514404,22.5
2018-03-28,125.7300033569336,55.553443908691406,135.95782470703125,87.62591552734375,149.28860473632812,96.54136657714844,104.31999969482422,19.759117126464844,23.748615264892578,46.324310302734375,23.307510375976562,23.352916717529297,63.987545013427734,29.693286895751953,42.12763977050781,23.7174015045166,19.5387020111084,70.51741790771484,46.27250289916992,2605.0,1.6950000524520874,2.7750000953674316,22.8700008392334
2018-03-29,125.79000091552734,55.74224853515625,137.33274841308594,88.02330780029297,152.02281188964844,97.0108871459961,104.72000122070312,19.742395401000977,24.203439712524414,46.324310302734375,23.798234939575195,23.67058753967285,64.9226303100586,30.281139373779297,42.41779327392578,23.70977020263672,19.64366340637207,71.04985809326172,46.92104721069336,2640.8701171875,1.6699999570846558,2.740999937057495,19.969999313354492
2018-04-02,127.26000213623047,55.525901794433594,133.9860076904297,87.97595977783203,147.63671875,97.2022705078125,101.91999816894531,19.734031677246094,23.676345825195312,46.324310302734375,23.32163429260254,23.146865844726562,63.58552551269531,29.55905532836914,41.37808609008789,23.419879913330078,19.492053985595703,69.43509674072266,45.5961799621582,2581.8798828125,1.6829999685287476,2.7320001125335693,23.6200008392334
2018-04-03,126.30000305175781,55.6827278137207,135.90359497070312,87.74284362792969,149.2981414794922,96.45264434814453,102.4800033569336,19.767480850219727,24.01215362548828,46.324310302734375,23.819414138793945,23.464527130126953,64.46819305419922,29.850658416748047,41.9261474609375,23.503787994384766,19.558137893676758,70.4912338256836,46.175228118896484,2614.449951171875,1.7130000591278076,2.7839999198913574,21.100000381469727
2018-04-04,126.44999694824219,55.80690002441406,137.63125610351562,87.74284362792969,151.6525421142578,96.25325012207031,102.55999755859375,19.759117126464844,24.169431686401367,46.324310302734375,23.787639617919922,23.713512420654297,64.74784851074219,30.267242431640625,42.57899475097656,23.778423309326172,19.600900650024414,71.4949951171875,47.022953033447266,2644.68994140625,1.6679999828338623,2.7880001068115234,20.059999465942383
2018-04-05,125.80000305175781,55.85264587402344,138.77096557617188,87.77287292480469,152.51651000976562,95.53545379638672,102.63999938964844,19.834375381469727,24.620004653930664,46.324310302734375,24.214815139770508,23.902400970458984,65.40325164794922,30.39221954345703,42.683753967285156,23.801311492919922,19.756404876708984,71.442626953125,47.65294647216797,2662.840087890625,1.6749999523162842,2.8320000171661377,18.940000534057617
2018-04-06,126.38999938964844,55.728492736816406,136.00303649902344,88.0361099243164,148.70004272460938,96.58023834228516,100.08000183105469,19.759117126464844,24.02065658569336,46.324310302734375,23.777050018310547,23.3271541595459,63.594276428222656,29.646997451782227,42.248531341552734,23.55719566345215,19.600900650024414,69.72310638427734,46.638465881347656,2604.469970703125,1.6799999475479126,2.7750000953674316,21.489999771118164
2018-04-09,126.81999969482422,55.937618255615234,136.16590881347656,88.08125305175781,149.7443084716797,96.73974609375,102.16000366210938,19.708948135375977,24.152429580688477,46.324310302734375,23.890029907226562,23.45594596862793,63.402034759521484,29.878440856933594,42.22434616088867,23.549564361572266,19.6397762298584,70.41266632080078,46.527286529541016,2613.159912109375,1.6749999523162842,2.7860000133514404,21.770000457763672
2018-04-10,127.12000274658203,56.140220642089844,138.73475646972656,88.10379028320312,153.0481719970703,96.56426239013672,106.0,19.658777236938477,24.649757385253906,46.324310302734375,24.68082046508789,23.80795669555664,64.37203216552734,30.614402770996094,42.32107162475586,23.38936424255371,19.488161087036133,71.5997543334961,47.09244155883789,2656.8701171875,1.6950000524520874,2.796999931335449,20.469999313354492
2018-04-11,128.11000061035156,56.15981674194336,139.03321838378906,88.16393280029297,152.16526794433594,96.9072265625,107.5999984741211,19.642051696777344,24.466976165771484,46.324310302734375,24.93854331970215,23.524625778198242,63.9001579284668,30.433883666992188,42.24047088623047,23.450397491455078,19.460954666137695,71.01492309570312,46.9488410949707,2642.18994140625,1.6929999589920044,2.7899999618530273,20.239999771118164
2018-04-12,126.62000274658203,56.3624267578125,139.98292541503906,87.92330932617188,153.99749755859375,96.19745635986328,108.16000366210938,19.683862686157227,24.726274490356445,46.324310302734375,24.93500518798828,23.936738967895508,64.81776428222656,30.79955291748047,42.17599868774414,23.17576026916504,19.204368591308594,71.4949951171875,47.152652740478516,2663.989990234375,1.7050000429153442,2.8340001106262207,18.489999771118164
2018-04-13,127.44999694824219,56.39507293701172,139.25030517578125,87.95335388183594,153.20008850097656,96.42073059082031,108.4000015258789,19.683862686157227,24.700769424438477,46.324310302734375,25.21038246154785,23.576141357421875,64.66043853759766,30.697717666625977,42.385536193847656,23.297813415527344,19.355987548828125,71.4600830078125,46.88861083984375,2656.300048828125,1.718000054359436,2.8289999961853027,17.40999984741211
2018-04-16,127.62999725341797,56.480072021484375,140.53466796875,87.9609375,154.36778259277344,96.45264434814453,107.04000091552734,19.61696434020996,25.032325744628906,46.324310302734375,25.468101501464844,23.679168701171875,65.30712890625,30.933794021606445,42.84494400024414,23.404613494873047,19.620344161987305,72.02742767333984,47.24066925048828,2677.840087890625,1.7130000591278076,2.8320000171661377,16.559999465942383
2018-04-17,127.75,56.50619888305664,142.06333923339844,87.96843719482422,157.69058227539062,96.71581268310547,107.27999877929688,19.61696434020996,25.317121505737305,46.324310302734375,25.56695556640625,23.679168701171875,65.85771942138672,31.50775146484375,42.94166564941406,23.7174015045166,19.818599700927734,72.58606719970703,48.12082290649414,2706.389892578125,1.7549999952316284,2.813999891281128,15.25
