date,gross_return,tc_cost,net_return,turnover,n_long,n_short,gross_exposure,net_exposure
2023-01-31,-0.0008769286970496135,6.458088049611217e-05,-0.0009415095775457256,0.11741978272020395,8,10,0.9777359181230683,0.20342409432870542
2023-02-01,-3.513522015436999e-05,4.2462522799437e-05,-7.759774295380699e-05,0.07720458690806728,10,10,1.078252403118973,0.21119556355397576
2023-02-02,0.003243914372142017,1.2282284827184359e-05,0.003231632087314833,0.022331426958517017,10,10,1.1226237599792377,0.2054594514871667
2023-02-03,-0.0027808865469399193,5.0527111566370104e-06,-0.002785939258096556,0.009186747557521836,10,10,1.140739656165628,0.20943249523058918
2023-02-06,0.009171050585333166,3.311297506540127e-06,0.009167739287826625,0.006020540920982049,10,10,1.1487623311798298,0.21123992331149677
2023-02-07,0.004825237622498921,4.601246561305485e-06,0.004820636375937616,0.008365902838737244,10,10,1.1530466399136465,0.21173466542837432
2023-02-08,-0.00933472447361749,5.331201510254938e-06,-0.009340055675127745,0.009693093655008977,10,10,1.1541748196663886,0.21185940448832183
2023-02-09,0.0011429905828635872,3.415262508968861e-06,0.0011395753203546184,0.006209568198125202,10,10,1.1564410662148963,0.21202610763987223
2023-02-10,-0.00271403024412303,8.354916013190005e-06,-0.00272238516013622,0.01519075638761819,10,10,1.1541345142438124,0.21122140380732773
2023-02-13,0.0012941660325845859,6.4608199144483e-06,0.0012877052126701377,0.011746945298996909,10,10,1.1565565865491592,0.21187236323173098
2023-02-14,0.0005307143639512227,3.370719901996459e-06,0.0005273436440492263,0.006128581639993563,10,10,1.15500434925104,0.2118634018000768
2023-02-15,-0.009268631581212293,6.648484224982618e-06,-0.009275280065437276,0.012088153136332033,10,10,1.156272618788285,0.21258939749916345
2023-02-16,-0.003686494038297858,8.41634472994308e-06,-0.0036949103830278014,0.015302444963532873,10,10,1.1563946951263664,0.21272937214250773
2023-02-17,0.0030442457516097407,3.4069748244955218e-06,0.003040838776785245,0.006194499680900949,10,10,1.1592186532273918,0.2139980611650148
2023-02-20,-0.0008666089056620797,4.245388250151414e-06,-0.000870854293912231,0.007718887727548026,10,10,1.1587342434813415,0.21393663312188585
2023-02-21,-0.0010129267988898513,4.146818783367796e-06,-0.001017073617673219,0.007539670515214175,10,10,1.1622703295361532,0.21447741600447903
2023-02-22,0.00051179606482679,4.352691673535093e-06,0.0005074433731532549,0.007913984860972896,10,10,1.163043001903393,0.21427932211908923
2023-02-23,-0.0014545579660733255,6.784009572278611e-06,-0.0014613419756456041,0.012334562858688385,10,10,1.1629629680000435,0.21427866684364455
2023-02-24,0.005495004527264033,5.612211979141142e-06,0.005489392315284892,0.01020402178025662,10,10,1.167089655233157,0.21545415846949378
2023-02-27,-0.002799718367461695,5.170495248725074e-06,-0.0028048888627104198,0.009400900452227409,10,10,1.1669475061106656,0.2149264164219062
2023-02-28,-0.008263359151301487,9.403110848858072e-06,-0.008272762262150344,0.017096565179741948,10,10,1.166153464567633,0.21451877916789264
2023-03-01,0.0046974377248629,7.431835103012952e-06,0.004690005889759887,0.013512427460023547,10,10,1.1663434254815868,0.21294486264293266
