date,gross_return,tc_cost,net_return,turnover,n_long,n_short,gross_exposure,net_exposure
2023-01-31,-0.0015659953156627045,0.0001034655177955158,-0.0016694608334582202,0.1881191232645742,13,7,1.1827846958352048,0.6458942343209815
2023-02-01,0.004368044052282789,5.655439255537025e-05,0.0043114896597274185,0.10282616828249136,14,7,1.2944291028031782,0.6898186020167925
2023-02-02,0.0058234628004209,6.126163198575702e-06,0.005817336637222325,0.011138478542864911,14,7,1.2691104113150953,0.6478414628161455
2023-02-03,-0.004679082261532586,3.75543102588826e-05,-0.004716636571791468,0.06828056410705927,14,7,1.2676710055437903,0.6501509240965594
2023-02-06,0.010579201216750558,3.4712269975465726e-05,0.010544488946775092,0.06311321813721041,14,7,1.3102850120816023,0.6560754453043386
2023-02-07,0.006219455899926305,6.686251220624233e-06,0.006212769648705681,0.01215682040113497,14,7,1.272518014774569,0.6458876699000051
2023-02-08,-0.014653989646922333,8.411059900103779e-06,-0.014662400706822436,0.015292836182006872,14,7,1.2693439159629964,0.6435436374356907
2023-02-09,0.0041036656581674835,3.630412827780466e-05,0.004067361529889678,0.06600750595964484,14,7,1.2721020130771121,0.6487306928209974
2023-02-10,-0.006281903424762993,5.708471867903134e-05,-0.006338988143442024,0.10379039759823881,14,7,1.311104746875016,0.6557444852796195
2023-02-13,0.007011947459545803,6.116702930679345e-05,0.0069507804302390095,0.11121278055780627,14,7,1.2425420494999508,0.6211213616356118
2023-02-14,-0.002506705664024448,5.9627110075106226e-05,-0.002566332774099554,0.10841292740928406,14,7,1.3184087227298487,0.6785537716334915
2023-02-15,-0.012539108893897755,6.196573306906469e-05,-0.012601074626966819,0.11266496921648125,14,7,1.2402187846858237,0.6226117862768947
2023-02-16,-0.012605831876837933,5.996466518937553e-05,-0.012665796542027308,0.10902666398068278,14,7,1.3200574252079884,0.6790702878266754
2023-02-17,0.0030680517393126615,5.9949204471782094e-05,0.0030081025348408794,0.10899855358505835,14,7,1.2432034935470135,0.6270949317738892
2023-02-20,0.0006961053323588913,6.012366356581034e-05,0.000635981668793081,0.10931575193783698,14,7,1.319395176278775,0.6843970918154877
2023-02-21,-0.0068672523257103145,6.111023709181155e-05,-0.0069283625628021265,0.1111095219851119,14,7,1.2442917356628587,0.625496715411551
2023-02-22,0.006976393906225989,6.124021724159352e-05,0.006915153688984396,0.11134584953017004,14,7,1.3239978608686516,0.6803605836798758
2023-02-23,-0.010024020539561654,6.0363662508886304e-05,-0.010084384202070541,0.10975211365252056,14,7,1.2439570098446926,0.6277654939060902
2023-02-24,0.0015298399015798718,6.311018206002512e-05,0.0014667297195198466,0.11474578556368203,14,7,1.323299463617437,0.6820637974107443
2023-02-27,-0.002455857871472891,6.199221647575216e-05,-0.002517850087948643,0.11271312086500393,14,7,1.2416215518711387,0.6290582199137189
