date,gross_return,tc_cost,net_return,turnover,n_long,n_short,gross_exposure,net_exposure
2023-01-31,0.0014321646223493072,6.392594199146398e-05,0.0013682386803578431,0.11622898543902543,10,10,1.022693589018168,0.09866867750279368
2023-02-01,0.0063631055468864025,8.112055852617124e-05,0.006281984988360231,0.14749192459303864,10,10,1.0183269080287758,0.1428043635923486
2023-02-02,0.0028685357081951195,7.423393693915227e-05,0.0027943017712559674,0.13497079443482232,10,10,0.9730006614451119,0.1542422786973439
2023-02-03,-0.0033133439319878253,4.235404742425389e-05,-0.003355697979412079,0.07700735895318889,10,10,1.0006771459296293,0.12983095961847774
2023-02-06,0.0079195332353741,3.0393184551595555e-05,0.007889140050822504,0.05526033554835555,10,10,1.0113718470311444,0.14505057927794823
2023-02-07,0.003671341186617442,8.104669265447604e-05,0.003590294493962966,0.14735762300813826,9,10,1.0261387673055353,0.12476534590367948
2023-02-08,-0.005875654720256005,7.410368396063328e-05,-0.005949758404216639,0.13473397083751507,10,10,1.026220250935709,0.22718229270229895
2023-02-09,-0.0013785771491092234,9.64860174421072e-05,-0.0014750631665513307,0.1754291226220131,10,10,1.0292249695135351,0.20663200954510688
2023-02-10,-0.005631155867049724,7.379417557001835e-05,-0.005704950042619742,0.13417122830912429,10,10,1.055103438598535,0.19860466402971072
2023-02-13,0.00023900954320418572,5.044280290424402e-05,0.0001885667402999417,0.0917141870986255,10,9,1.011641391584301,0.14500591936291007
2023-02-14,0.00021495226319878056,7.567649577904206e-05,0.0001392757674197385,0.13759362868916739,10,10,1.0180096907364629,0.14665152859606478
2023-02-15,-0.0058938974616205685,5.7928590473904565e-05,-0.005951826052094473,0.10532470995255375,9,10,0.9711472874958081,0.1319395223399899
2023-02-16,-0.00652430496979214,0.00011392366065128501,-0.006638228630443424,0.20713392845688183,10,10,1.0814333481248861,0.21878371464109836
2023-02-17,0.002001693219501562,0.00010795559339539758,0.0018937376261061645,0.19628289708254104,10,10,1.0540208851282034,0.2416734381544946
2023-02-20,-0.0015485442320978136,0.00011159935946475707,-0.0016601435915625706,0.2029079262995583,9,10,1.094225643792528,0.13222944596569627
2023-02-21,-0.00021833473160327876,9.260130878825064e-05,-0.0003109360403915294,0.16836601597863754,9,10,1.1394098086053113,0.1348434245756131
2023-02-22,0.004545425949793883,0.00011556460312441377,0.004429861346669469,0.21011746022620684,10,10,1.1236210256388088,0.16875621064051785
2023-02-23,0.0013488467096067467,0.00011524296543772943,0.0012336037441690174,0.20953266443223534,10,10,1.0937958702142445,0.198905512212804
2023-02-24,0.0027957549561410007,8.422756454192265e-05,0.002711527391599078,0.15314102643985936,10,10,1.0744659626407969,0.17537940151591347
2023-02-27,0.00048284211385502386,6.409925589367928e-05,0.0004187428579613446,0.11654410162487142,10,10,1.0854557189458163,0.17234218368639526
2023-02-28,-0.002850639686233723,0.0001153391755774489,-0.0029659788618111717,0.20970759195899802,9,10,1.0821293563266328,0.1487271311939253
2023-03-01,0.0009459406641879936,9.506618744225861e-05,0.000850874476745735,0.17284761353137928,10,10,1.0065895334330712,0.1862724885805644
2023-03-02,0.0015311442221650872,7.118260235790863e-05,0.0014599616198071785,0.1294229133780157,10,10,1.013172730183693,0.21860710603105754
2023-03-03,0.0001737547761549929,6.916766427389052e-05,0.00010458711188110238,0.12575938958889185,10,10,0.9924499772808351,0.2194826188688206
2023-03-06,0.0067247626891894586,6.421793754910627e-05,0.006660544751640352,0.1167598864529205,10,10,0.9841729662737583,0.21905313289543665
2023-03-07,-0.0006475497328074108,7.294952245248311e-05,-0.0007204992552598938,0.1326354953681511,10,10,0.9969171389828329,0.23654221703479775
2023-03-08,-0.003063226183728458,5.5336913478734495e-05,-0.0031185630972071924,0.10061256996133544,10,10,1.0530451677445596,0.23694225574051447
2023-03-09,-0.006498603789894333,3.279457446306472e-05,-0.0065313983643573974,0.05962649902375403,10,10,1.073373898872926,0.22647421008204827
2023-03-10,0.002849666955989366,7.148737425505733e-05,0.0027781795817343087,0.12997704410010422,10,10,1.096233976750218,0.23287855719845077
2023-03-13,0.0024195982890118555,6.8131038899275e-05,0.0023514672501125803,0.1238746161805,9,10,1.1429194444743862,0.1858083966547722
2023-03-14,-0.009416521379640988,4.398059496708161e-05,-0.00946050197460807,0.07996471812196657,10,10,1.1201991408952487,0.257915163992553
2023-03-15,-0.003403389563438939,9.94705635842297e-05,-0.0035028601270231685,0.1808555701531449,10,10,1.1157997608140788,0.25679782763920134
2023-03-16,0.0004727918843844053,0.0001089634292988487,0.0003638284550855566,0.19811532599790674,10,10,1.0939472279088456,0.216459433500308
2023-03-17,-0.0028375472664762657,7.798533417472449e-05,-0.00291553260065099,0.14179151668131726,10,10,1.068766618453834,0.2220431493541378
2023-03-20,-0.002005266748419084,7.558274462190452e-05,-0.0020808494930409883,0.1374231720398264,10,10,1.031176882967283,0.19377809734650853
2023-03-21,-0.0036268261406346464,5.6267560711970746e-05,-0.003683093701346617,0.1023046558399468,10,10,1.1038452286825704,0.18294312590776665
